ranking,punk_image,id,minscore,2nd,category_score,att_count_score,attributes,skin,type,total_score
1,"<img src=""https://www.larvalabs.com/public/images/cryptopunks/punk8348.png"" width=""72"" height=""72"">",8348,0.0078,1.15,30.31,0.01,"""[""""Buck Teeth"""", """"Top Hat"""", """"Big Beard"""", """"Classic Shades"""", """"Mole"""", """"Cigarette"""", """"Earring""""]""",Mid,Male,0.000199934
2,"<img src=""https://www.larvalabs.com/public/images/cryptopunks/punk3443.png"" width=""72"" height=""72"">",3443,0.0142,24.59,0.09,35.6,"""[""""Cowboy Hat"""", """"Earring""""]""",Alien,Alien,0.000441163
3,"<img src=""https://www.larvalabs.com/public/images/cryptopunks/punk7523.png"" width=""72"" height=""72"">",7523,0.0175,4.19,0.09,45.01,"""[""""Medical Mask"""", """"Knitted Cap"""", """"Earring""""]""",Alien,Alien,0.000525434
4,"<img src=""https://www.larvalabs.com/public/images/cryptopunks/punk2890.png"" width=""72"" height=""72"">",2890,0.0351,3.51,0.09,3.33,"""[""""Cap""""]""",Alien,Alien,0.000676667
5,"<img src=""https://www.larvalabs.com/public/images/cryptopunks/punk7804.png"" width=""72"" height=""72"">",7804,0.0254,3.17,0.09,45.01,"""[""""Cap Forward"""", """"Pipe"""", """"Small Shades""""]""",Alien,Alien,0.000708398
6,"<img src=""https://www.larvalabs.com/public/images/cryptopunks/punk3100.png"" width=""72"" height=""72"">",3100,0.0406,4.06,0.09,3.33,"""[""""Headband""""]""",Alien,Alien,0.000749127
7,"<img src=""https://www.larvalabs.com/public/images/cryptopunks/punk5905.png"" width=""72"" height=""72"">",5905,0.03,3.78,0.09,35.6,"""[""""Do-rag"""", """"Small Shades""""]""",Alien,Alien,0.000804702
8,"<img src=""https://www.larvalabs.com/public/images/cryptopunks/punk5822.png"" width=""72"" height=""72"">",5822,0.0481,4.81,0.09,3.33,"""[""""Bandana""""]""",Alien,Alien,0.000838472
9,"<img src=""https://www.larvalabs.com/public/images/cryptopunks/punk5577.png"" width=""72"" height=""72"">",5577,0.0142,1.42,0.24,3.33,"""[""""Cowboy Hat""""]""",Ape,Ape,0.000961416
10,"<img src=""https://www.larvalabs.com/public/images/cryptopunks/punk6089.png"" width=""72"" height=""72"">",6089,0.0419,24.59,0.09,35.6,"""[""""Knitted Cap"""", """"Earring""""]""",Alien,Alien,0.001027215
11,"<img src=""https://www.larvalabs.com/public/images/cryptopunks/punk8498.png"" width=""72"" height=""72"">",8498,0.0115,5.27,0.24,35.6,"""[""""Top Hat"""", """"Regular Shades""""]""",Ape,Ape,0.001051006
12,"<img src=""https://www.larvalabs.com/public/images/cryptopunks/punk2202.png"" width=""72"" height=""72"">",2202,0.0048,1.51,28.24,0.11,"""[""""Choker"""", """"Straight Hair"""", """"Classic Shades"""", """"Mole"""", """"Hot Lipstick"""", """"Earring""""]""",Dark,Female,0.001051903
13,"<img src=""https://www.larvalabs.com/public/images/cryptopunks/punk0635.png"" width=""72"" height=""72"">",0635,0.0481,5.27,0.09,35.6,"""[""""Bandana"""", """"Regular Shades""""]""",Alien,Alien,0.001120833
14,"<img src=""https://www.larvalabs.com/public/images/cryptopunks/punk6965.png"" width=""72"" height=""72"">",6965,0.0186,1.86,0.24,3.33,"""[""""Fedora""""]""",Ape,Ape,0.001236467
15,"<img src=""https://www.larvalabs.com/public/images/cryptopunks/punk9280.png"" width=""72"" height=""72"">",9280,0.0142,2.86,0.24,35.6,"""[""""Cowboy Hat"""", """"3D Glasses""""]""",Ape,Ape,0.001280564
16,"<img src=""https://www.larvalabs.com/public/images/cryptopunks/punk5795.png"" width=""72"" height=""72"">",5795,0.0203,2.03,0.24,3.33,"""[""""Police Cap""""]""",Ape,Ape,0.001340082
